Input X^n%m                 Result         O(n) sec     O(log n) sec 


7^107 % 9                   4              0.00000616    0.00000370
4^2 % 3                     1              0.00000041    0.00000041
674049^317488 % 424178      198603         0.00740290    0.00000452
820463^547628 % 813200      354321         0.01231641    0.00000452
381429^790348 % 688361      166586         0.01700003    0.00000411
516858^623225 % 574626      93948          0.01338623    0.00000452
479857^946097 % 368424      71449          0.02033796    0.00000534
129506^947720 % 255766      199424         0.02029158    0.00000410
451044^273004 % 657958      321812         0.00584087    0.00000328
658284^470433 % 106761      91782          0.01019484    0.00000534
78843^727727 % 618387       606372         0.01613219    0.00000493
179485^846529 % 870937      359469         0.01881165    0.00000575
880815^486740 % 570917      513435         0.01084675    0.00000370
897555^486060 % 224313      44469          0.01035372    0.00000370
531001^959320 % 205120      45761          0.02051531    0.00000575
452927^889386 % 712305      58474          0.01908095    0.00000410
806282^868595 % 144999      108413         0.01863636    0.00000370
864261^748308 % 993557      309499         0.01605625    0.00000452
712132^220071 % 791179      745977         0.00477640    0.00000369
899788^195162 % 143763      141820         0.00402802    0.00000329
404334^385244 % 603818      74184          0.00855030    0.00000657
783816^350627 % 53558       23732          0.00757121    0.00000410
241610^394062 % 181990      162980         0.00842017    0.00000287
959279^637545 % 586349      122290         0.01379880    0.00000452
259966^581676 % 237358      46632          0.01242232    0.00000452
887692^852903 % 767617      119025         0.01895164    0.00000739
631812^524902 % 325922      213838         0.01098633    0.00000370
809908^275826 % 711062      162162         0.00628834    0.00000452
804724^931550 % 804260      411056         0.01995906    0.00000410
551671^637991 % 771239      532708         0.01329386    0.00000452
112222^165157 % 955925      82487          0.00348654    0.00000287
958891^620731 % 642452      340287         0.01358697    0.00000493
942828^86272 % 902554       107972         0.00187402    0.00000287
84138^746072 % 398040       88056          0.01595361    0.00000452
538516^520696 % 990914      398296         0.01099043    0.00000410
651766^523847 % 986666      720598         0.01129093    0.00000369
744124^978245 % 841252      313852         0.02128503    0.00000369
475203^668416 % 354376      301601         0.01396177    0.00000328
703661^659094 % 656692      128145         0.01415841    0.00000411
158572^881736 % 123530      64596          0.01858546    0.00000657
440854^835000 % 977569      929535         0.01940650    0.00000657
527909^955004 % 182427      134248         0.02047302    0.00000493
915766^907516 % 241318      104120         0.01968606    0.00000493
97884^873441 % 900072       118584         0.01911092    0.00000698
141699^475057 % 775985      353834         0.01021126    0.00000452
462120^469182 % 939152      350192         0.01002694    0.00000493
312689^457155 % 349094      347417         0.00966979    0.00000452
336858^200066 % 662020      85404          0.00410355    0.00000287
959141^409575 % 646185      616556         0.00906427    0.00000410
233085^64557 % 528111       42912          0.00147171    0.00000287
982454^659265 % 346992      61232          0.01397327    0.00000370
252051^649579 % 269209      134972         0.01390348    0.00000410
993112^877432 % 550280      153176         0.01939213    0.00000534
336048^504417 % 499433      108134         0.01060988    0.00000410
305456^643888 % 89431       63237          0.01353976    0.00000452
343750^954348 % 798675      416050         0.02073206    0.00000493
577392^390551 % 343621      82140          0.00806958    0.00002463
445069^961125 % 705452      155585         0.02071318    0.00001724
978448^431350 % 524961      463630         0.00927200    0.00000205
91341^107263 % 829747       693126         0.00248611    0.00000164
453186^637479 % 866034      777564         0.01366086    0.00000246
